ORG4CODE,ORG8CODE,DISTRICT_N,DISTRICT_T,MEMBERLIST,TUITION,TUITION_GR,TUITION_TO,SUPERINTEN,START_GRAD,END_GRADE,SHAPE_AREA,SHAPE_LEN
0052,00520000,Carver,MuniK12,,N,,,,PK,12,102880648.168,47726.1906778
0001,00010000,Abington,MuniK12,,N,,,,PK,12,26390847.0697,24139.4131198
0212,02120000,North Attleborough,MuniK12,,N,,,,PK,12,50191425.7032,32069.5274804
0322,03220000,West Boylston,MuniK12,,N,,,,PK,12,35905571.4877,30912.773965
0056,00560000,Chelmsford,MuniK12,,N,,,,PK,12,59787673.8263,38973.277804
0031,00310000,Billerica,MuniK12,,N,,,,PK,12,68158855.1548,39129.8127597
0139,01390000,Hopkinton,MuniK12,,N,,,,PK,12,72137074.9595,36926.9137349
0125,01250000,Harvard,MuniK12,,N,,,,PK,12,70327484.6365,39222.2972849
0127,01270000,Hatfield,MuniK12,,N,,,,PK,12,43569506.9827,30192.9921214
0101,01010000,Franklin,MuniK12,,N,,,,PK,12,69998126.0055,36786.1208206
0153,01530000,Leominster,MuniK12,,N,,,,PK,12,76866230.7626,42258.665471
0018,00180000,Avon,MuniK12,,N,,,,PK,12,11754175.9711,14934.2415546
0064,00640000,Clinton,MuniK12,,N,,,,PK,12,18805461.0619,18720.9708178
0016,00160000,Attleboro,MuniK12,,N,,,,PK,12,71925427.5328,39370.2311179
0285,02850000,Stoughton,MuniK12,,N,,,,PK,12,42644406.8674,31388.1283161
0122,01220000,Hanover,MuniK12,,N,,,,PK,12,40478068.4934,30127.6984885
0210,02100000,Northampton,MuniK12,,N,,,,PK,12,92587330.1761,42457.1658489
0307,03070000,Walpole,MuniK12,,N,,,,PK,12,54554219.6294,37932.0536885
0347,03470000,Woburn,MuniK12,,N,,,,PK,12,33522274.0438,27522.3462022
0290,02900000,Sutton,MuniK12,,N,,,,PK,12,88125697.1745,46473.4973329
0100,01000000,Framingham,MuniK12,,N,,,,PK,12,68642060.1933,35082.75397
0305,03050000,Wakefield,MuniK12,,N,,,,PK,12,20704636.1337,22293.6663599
0251,02510000,Rockland,MuniK12,,N,,,,PK,12,26209250.3619,24690.1742631
0332,03320000,West Springfield,MuniK12,,N,,,,PK,12,45416675.1311,34348.431861
0073,00730000,Dedham,MuniK12,,N,,,,PK,12,27669925.4458,26695.826325
0162,01620000,Lunenburg,MuniK12,,N,,,,PK,12,71863140.0845,38127.2307277
0186,01860000,Millbury,MuniK12,,N,,,,PK,12,42590051.944,32222.2769947
0083,00830000,East Bridgewater,MuniK12,,N,,,,PK,12,45428309.9861,28489.3911542
0278,02780000,South Hadley,MuniK12,,N,,,,PK,12,47742393.2498,33276.4304141
0151,01510000,Leicester,MuniK12,,N,,,,PK,12,63799533.5172,32321.7353498
0271,02710000,Shrewsbury,MuniK12,,N,,,,PK,12,56348338.6348,32165.8765976
0308,03080000,Waltham,MuniK12,,N,,,,PK,12,35641539.7353,26261.417127
0217,02170000,North Reading,MuniK12,,N,,,,PK,12,34936710.7916,30483.1057807
0342,03420000,Wilmington,MuniK12,,N,,,,PK,12,44399123.0315,31733.7342423
0138,01380000,Hopedale,MuniK12,,N,,,,PK,12,13836175.4702,20150.3471579
0077,00770000,Douglas,MuniK12,,N,,,,PK,12,98158644.5747,44276.2722262
0103,01030000,Gardner,MuniK12,,N,,,,PK,12,59603256.5346,37834.076167
0330,03300000,Weston,MuniK12,,N,,,,PK,12,44885981.6288,30579.5459288
0191,01910000,Monson,MuniK12,,N,,,,PK,12,115984593.592,45989.136383
0226,02260000,Oxford,MuniK12,,N,,,,PK,12,71024192.6881,44612.8503778
0236,02360000,Pittsfield,MuniK12,,N,,,,PK,12,109989259.324,42063.9993402
0160,01600000,Lowell,MuniK12,,N,,,,PK,12,37630657.8659,28403.6640576
0344,03440000,Winchester,MuniK12,,N,,,,PK,12,16439015.8068,19080.5641317
0128,01280000,Haverhill,MuniK12,,N,,,,PK,12,92457998.4263,43123.4076072
0087,00870000,East Longmeadow,MuniK12,,N,,,,PK,12,33688897.8143,23285.4170463
0214,02140000,Northbridge,MuniK12,,N,,,,PK,12,46750345.4956,30706.1476727
0086,00860000,Easthampton,MuniK12,,N,,,,PK,12,35237336.2891,33943.9972683
0114,01140000,Greenfield,MuniK12,,N,,,,PK,12,56649477.6975,34664.7520135
0110,01100000,Grafton,MuniK12,,N,,,,PK,12,60355752.9669,33511.870244
0007,00070000,Amesbury,MuniK12,,N,,,,PK,12,35547168.617,26560.1469685
0204,02040000,Newburyport,MuniK12,,N,,,,PK,12,23933688.3065,35393.6026283
0144,01440000,Ipswich,MuniK12,,N,,,,PK,12,89515711.2777,74265.1321649
0234,02340000,Petersham,MuniElem,,N,,,Union 73,K,06,176748924.117,73405.7066295
0238,02380000,Plainville,MuniElem,,N,,,,PK,06,29776042.2378,23823.9325694
0240,02400000,Plympton,MuniElem,,N,,,Union 31,K,06,39121041.8238,27849.1165861
0249,02490000,Richmond,MuniElem,,Y,9-12,"Pittsfield, Berkshire Hills, Lenox",Union 70,PK,08,49282258.363,32478.0810628
0250,02500000,Rochester,MuniElem,,N,,,Union 55,PK,06,93327184.0191,43501.8699672
0211,02110000,North Andover,MuniK12,,N,,,,PK,12,71785076.4235,41127.5904279
0218,02180000,Norton,MuniK12,,N,,,,PK,12,75918561.772,36981.0016479
0136,01360000,Holliston,MuniK12,,N,,,,PK,12,49344837.133,33820.8309292
0177,01770000,Medway,MuniK12,,N,,,,PK,12,30216566.71,27338.5944292
0133,01330000,Holbrook,MuniK12,,N,,,,PK,12,19070454.5153,17630.6005704
0137,01370000,Holyoke,MuniK12,,N,,,,PK,12,59048524.8707,39801.7387995
0009,00090000,Andover,MuniK12,,N,,,,PK,12,83274583.6225,46867.690659
0046,00460000,Brookline,MuniK12,,N,,,,PK,12,17676103.6013,19268.3193888
0158,01580000,Littleton,MuniK12,,N,,,,PK,12,45351168.6213,27777.2939162
0181,01810000,Methuen,MuniK12,,N,,,,PK,12,59557813.6864,44707.1015891
0281,02810000,Springfield,MuniK12,,N,,,,PK,12,85669527.5599,40707.8465785
0014,00140000,Ashland,MuniK12,,N,,,,PK,12,33342677.447,25926.5179796
0274,02740000,Somerville,MuniK12,,N,,,,PK,12,10699846.2902,19786.9588634
0049,00490000,Cambridge,MuniK12,,N,,,,PK,12,18400398.6685,26475.6845563
0035,00350000,Boston,MuniK12,,N,,,,PK,12,130383961.678,191079.657748
0243,02430000,Quincy,MuniK12,,N,,,,PK,12,45071107.5521,66710.421209
0336,03360000,Weymouth,MuniK12,,N,,,,PK,12,46199162.0657,48254.9197744
0189,01890000,Milton,MuniK12,,N,,,,PK,12,34464524.1851,30936.5726131
0040,00400000,Braintree,MuniK12,,N,,,,PK,12,37404020.3865,27614.1647478
0131,01310000,Hingham,MuniK12,,N,,,,PK,12,58775429.4347,52054.2106218
0142,01420000,Hull,MuniK12,,N,,,,PK,12,8179131.9321,44678.5619822
0065,00650000,Cohasset,MuniK12,,N,,,,PK,12,26885050.6113,28051.8741783
0264,02640000,Scituate,MuniK12,,N,,,,PK,12,45596968.2182,61748.9609215
0219,02190000,Norwell,MuniK12,,N,,,,PK,12,54975198.7131,41301.3390541
0171,01710000,Marshfield,MuniK12,,N,,,,PK,12,74988382.5858,42636.0805212
0231,02310000,Pembroke,MuniK12,,N,,,,PK,12,61010111.6996,42291.6967494
0082,00820000,Duxbury,MuniK12,,N,,,,PK,12,62794308.442,63948.8942049
0293,02930000,Taunton,MuniK12,,N,,,,PK,12,125318834.564,71809.6297792
0292,02920000,Swansea,MuniK12,,N,,,,PK,12,59491899.9873,69568.0150566
0239,02390000,Plymouth,MuniK12,,N,,,,PK,12,266349252.366,103820.176733
0310,03100000,Wareham,MuniK12,,N,,,,PK,12,100375493.441,77762.1527006
0094,00940000,Fairhaven,MuniK12,,N,,,,PK,12,32176971.465,65338.5810653
0201,02010000,New Bedford,MuniK12,,N,,,,PK,12,52340275.2904,49780.313838
0072,00720000,Dartmouth,MuniK12,,N,,,,PK,12,164847758.808,77582.9743322
0331,03310000,Westport,MuniK12,,N,,,,PK,12,148111423.575,62044.5303374
0095,00950000,Fall River,MuniK12,,N,,,,PK,12,99829695.0112,63680.9641049
0036,00360000,Bourne,MuniK12,,N,,,,PK,12,108568026.778,99983.0083369
0261,02610000,Sandwich,MuniK12,,N,,,,PK,12,114251727.628,63235.4089687
0096,00960000,Falmouth,MuniK12,,N,,,,PK,12,122513826.027,80246.205049
0172,01720000,Mashpee,MuniK12,,N,,,,PK,12,68044250.2859,58538.5211704
0020,00200000,Barnstable,MuniK12,,N,,,,PK,12,169774235.668,81031.8928783
0197,01970000,Nantucket,MuniK12,,N,,,,PK,12,127265355.159,141444.968697
0074,00740000,Deerfield,MuniElem,,N,,,Union 38,PK,06,86638250.7133,45089.6433096
0078,00780000,Dover,MuniElem,,N,,,Union 50,PK,05,39933244.0342,37756.016717
0157,01570000,Lincoln,MuniElem,,N,,,,PK,08,38800943.9391,28930.0076812
0091,00910000,Erving,MuniElem,,Y,7-12,Gill-Montague,Union 28,PK,06,37259039.7635,34299.9957106
0098,00980000,Florida,MuniElem,,Y,9-12,North Adams,Union 43,PK,08,63708075.5991,49604.3225413
0118,01180000,Halifax,MuniElem,,N,,,Union 31,K,06,45028534.8141,29497.4662572
0121,01210000,Hancock,MuniElem,,Y,7-12,Mount Greylock,Union 70,PK,06,92566394.2307,57656.7353802
0135,01350000,Holland,MuniElem,,N,,,Union 61,PK,06,33822722.8982,23971.0453611
0154,01540000,Leverett,MuniElem,,N,,,Union 28,PK,06,59460360.3071,31459.9115084
0223,02230000,Orange,MuniElem,,N,,,Union 73,PK,06,93267416.4082,53897.9178213
0184,01840000,Middleton,MuniElem,,N,,,Union 58,PK,06,37520730.6942,30904.8619758
0208,02080000,Norfolk,MuniElem,,N,,,,PK,06,39875151.8888,28905.2053809
0213,02130000,Northborough,MuniElem,,N,,,Union 3,PK,08,48545037.7847,30234.1312189
0252,02520000,Rockport,MuniK12,,N,,,,PK,12,17871586.0475,23016.7073642
0107,01070000,Gloucester,MuniK12,,N,,,,PK,12,71254540.4106,81485.9240089
0030,00300000,Beverly,MuniK12,,N,,,,PK,12,40149289.0644,31553.0456617
0071,00710000,Danvers,MuniK12,,N,,,,PK,12,35970097.9073,33562.0790907
0229,02290000,Peabody,MuniK12,,N,,,,PK,12,43520406.4087,29568.6219334
0258,02580000,Salem,MuniK12,,N,,,,PK,12,21111613.1546,31107.5792941
0168,01680000,Marblehead,MuniK12,,N,,,,PK,12,11225246.174,23683.0389276
0291,02910000,Swampscott,MuniK12,,N,,,,PK,12,8053224.26163,13358.033131
0163,01630000,Lynn,MuniK12,,N,,,,PK,12,30026657.1422,25059.1138376
0262,02620000,Saugus,MuniK12,,N,,,,PK,12,29679564.8007,27558.0009321
0178,01780000,Melrose,MuniK12,,N,,,,PK,12,12348565.7772,15101.9841616
0284,02840000,Stoneham,MuniK12,,N,,,,PK,12,17213714.0417,18559.0567177
0248,02480000,Revere,MuniK12,,N,,,,PK,12,16454458.1323,27577.1238321
0165,01650000,Malden,MuniK12,,N,,,,PK,12,13148310.8552,17284.9031063
0176,01760000,Medford,MuniK12,,N,,,,PK,12,22027807.562,24578.9270615
0093,00930000,Everett,MuniK12,,N,,,,PK,12,8926268.1695,15548.1045581
0057,00570000,Chelsea,MuniK12,,N,,,,PK,12,5747130.57605,12390.0505407
0346,03460000,Winthrop,MuniK12,,N,,,,PK,12,5888644.1391,25608.9076423
0276,02760000,Southborough,MuniElem,,N,,,Union 3,PK,08,40205358.4962,27678.8005301
0287,02870000,Sturbridge,MuniElem,,N,,,Union 61,PK,06,100920400.641,49232.818314
0288,02880000,Sudbury,MuniElem,,N,,,,PK,08,64092081.2924,39739.970671
0289,02890000,Sunderland,MuniElem,,N,,,Union 38,PK,06,38166560.6534,26659.4255343
0169,01690000,Marion,MuniElem,,N,,,Union 55,PK,06,36843878.7555,56584.0981605
0318,03180000,Wellfleet,MuniElem,,N,,,Union 54,PK,05,55083014.0038,62612.8210842
0306,03060000,Wales,MuniElem,,N,,,Union 61,PK,06,41371479.8321,26386.2125123
0327,03270000,Westhampton,MuniElem,,N,,,Union 66,PK,06,70859022.3192,34724.9885416
0337,03370000,Whately,MuniElem,,N,,,Union 38,PK,06,53523815.9439,32807.4681439
0340,03400000,Williamsburg,MuniElem,,N,,,Union 66,PK,06,66490371.6339,36652.4715174
0349,03490000,Worthington,MuniElem,,Y,7-12,Hampshire,,PK,06,83146520.8876,45078.9891287
0350,03500000,Wrentham,MuniElem,,N,,,,PK,06,58538617.3462,38486.8914154
0085,00850000,Eastham,MuniElem,,N,,,Union 54,K,05,37301057.1084,65729.3828316
0224,02240000,Orleans,MuniElem,,N,,,Union 54,PK,05,39866150.7559,62814.5875091
0041,00410000,Brewster,MuniElem,,N,,,Union 54,PK,05,66068355.6196,41698.64323
0296,02960000,Tisbury,MuniElem,,N,,,Union 19,PK,08,17021272.6338,39876.2179924
0221,02210000,Oak Bluffs,MuniElem,,N,,,Union 19,PK,08,19175294.7719,34447.853751
0089,00890000,Edgartown,MuniElem,,N,,,Union 19,PK,08,73621453.9887,101696.663083
0130,01300000,Heath,Member,,Y,PK-6,Hawlemont,,,,64524358.5404,33843.4293227
0145,01450000,Kingston,MuniElem,,N,,,Union 31,K,06,49387716.3487,31362.4565307
0173,01730000,Mattapoisett,MuniElem,,N,,,Union 55,PK,06,45711831.9004,48398.8227215
0117,01170000,Hadley,MuniK12,,N,,,,PK,12,63746571.7093,50459.8479552
0149,01490000,Lawrence,MuniK12,,N,,,,PK,12,19238173.7382,21162.9940986
0023,00230000,Bedford,MuniK12,,N,,,,PK,12,35840949.7263,24810.3178902
0027,00270000,Berkley,MuniElem,,N,,,,PK,08,42872675.0469,37296.4816469
0273,02730000,Somerset,MuniElem,,N,,,,PK,08,21237214.6891,35651.2820758
0230,02300000,Pelham,MuniElem,,N,,,Union 26,K,06,68761050.5764,40430.2109479
0269,02690000,Sherborn,MuniElem,,N,,,Union 50,PK,05,41841240.8933,30651.8875075
0298,02980000,Topsfield,MuniElem,,N,,,Union 58,PK,06,33152923.1379,31884.1358332
0272,02720000,Shutesbury,MuniElem,,N,,,Union 28,PK,06,70211872.48,40555.2285186
0253,02530000,Rowe,MuniElem,,Y,7-12,Mohawk Trail,Union 43,PK,06,62163485.5755,39761.0537268
0263,02630000,Savoy,MuniElem,,Y,6-12,Adams-Cheshire,Union 43,PK,05,93310332.5865,45397.0197137
0275,02750000,Southampton,MuniElem,,N,,,Union 66,PK,06,74971617.8838,43242.5737201
